ts1,19.94,28.614,37.046,60.927,49.405,30.655,27.693,27.594,34.58,45.196,55.938,52.48,25.539,19.246,23.994,36.536,58.886,46.528,40.646,25.269,30.726,29.521,26.29,39.371,54.62,49.008,31.392,28.855,22.506,29.124,37.387,56.746,50.17,32.653,27.126,22.095,30.414,45.989,66.468,53.09,40.164,34.566,31.973,22.279,42.956,62.826,50.142,33.702,28.656,26.417,27.253,44.374,65.207,49.745,34.481,32.667
ts2,12.273,16.766,21.159,29.932,29.634,12.004,14.725,15.42,19.827,22.222,27.764,33.177,17.205,14.952,18.325,19.586,28.699,22.86,27.636,13.194,13.506,13.917,17.347,18.169,26.786,26.006,13.676,12.33,15.448,15.349,20.862,31.207,9.311,11.437,14.697,14.484,18.892,21.854,30.286,30.626,13.974,13.69,14.569,19.657,23.101,27.749,34.666,13.988,13.875,16.327,17.489,20.663,27.098,32.171,13.676,16.369
ts3,10.573,19.218,34.821,50.354,36.706,17.687,15.065,17.12,25.539,33.943,46.499,40.816,18.552,11.423,15.675,22.718,50.0,37.004,27.395,15.561,18.552,16.908,20.663,30.995,46.769,34.836,19.161,16.284,14.64,24.277,33.617,46.868,9.85,12.557,16.171,16.156,23.257,39.541,46.967,42.46,19.133,19.204,17.815,19.969,31.42,45.422,38.365,17.928,18.041,16.978,22.293,36.522,42.786,39.272,17.446,17.149
ts4,14.073,17.035,27.579,52.494,33.943,7.937,7.696,20.125,17.815,31.378,42.871,35.36,16.171,11.48,15.037,24.178,33.716,32.88,26.077,13.69,0.893,5.4,17.829,23.994,24.135,32.582,17.857,15.363,12.287,16.837,25.043,43.112,10.955,12.897,13.577,10.062,17.007,31.576,42.786,30.598,20.904,20.125,17.319,16.95,25.652,37.046,31.42,17.276,15.675,12.472,17.928,25.028,45.309,32.242,15.944,16.638
ts5,10.728,15.405,27.962,48.172,38.464,17.432,18.622,15.391,17.049,27.523,41.752,50.17,32.384,21.726,14.101,17.772,34.453,60.275,32.44,13.591,12.939,15.391,10.303,22.902,43.452,40.49,24.759,16.738,13.464,13.974,23.795,48.143,11.494,17.333,17.772,14.371,17.545,32.44,46.627,38.747,4.294,0.0,0.0,4.974,35.445,45.196,33.759,18.991,16.865,16.001,15.079,20.833,40.646,33.305,16.667,14.101
ts6,11.749,13.407,20.791,36.026,45.876,11.919,18.863,3.671,17.772,20.72,29.762,36.139,4.875,19.742,22.293,14.782,22.208,22.874,27.31,4.294,12.854,15.575,15.901,18.75,25.113,29.436,5.598,12.854,10.417,16.142,16.468,32.412,3.784,6.916,0.0,5.3,16.241,23.512,31.264,35.757,5.683,13.733,19.062,16.412,14.739,30.456,31.548,11.692,17.517,15.193,16.695,19.501,31.434,34.34,5.882,6.505
ts7,16.695,19.175,21.967,32.214,35.431,18.041,20.833,22.605,27.197,21.315,28.968,35.317,15.434,21.712,18.878,20.323,28.274,21.173,29.082,12.018,12.783,20.054,16.482,21.599,27.027,32.115,14.413,19.345,14.3,18.056,19.43,31.533,9.85,14.81,18.197,12.656,20.777,22.662,31.052,35.459,14.371,14.895,17.46,17.12,22.732,28.784,30.003,13.152,12.372,15.703,17.602,15.49,31.505,32.398,13.705,17.474
ts8,8.206,17.234,20.762,30.796,33.759,7.894,11.635,10.643,15.164,19.133,31.392,41.851,14.98,14.286,10.402,18.382,27.183,26.091,27.65,7.922,7.1,12.628,18.736,16.497,27.423,30.683,0.156,10.204,10.346,13.861,13.265,30.329,4.974,5.244,12.358,13.96,16.567,21.925,33.404,34.425,14.272,17.545,15.122,14.64,16.879,27.622,33.248,5.3,10.275,12.826,15.42,18.552,27.126,32.157,5.641,8.659
ts9,9.566,10.743,9.113,18.056,7.242,5.754,6.052,8.532,11.281,8.574,13.889,6.448,4.28,7.497,8.617,7.44,12.287,6.321,4.719,5.825,3.444,5.711,7.157,5.06,9.127,4.875,6.293,6.647,7.327,7.568,7.058,11.267,8.617,7.809,11.125,8.56,8.121,11.48,18.254,8.631,7.851,3.883,6.959,9.056,10.247,12.146,8.503,5.995,7.058,7.341,8.943,8.829,13.634,6.704,5.556,8.206
ts10,11.465,18.382,17.347,40.434,25.808,7.27,13.251,13.435,19.459,24.986,36.097,34.779,19.87,14.243,19.118,21.032,34.864,28.472,30.286,21.159,20.451,23.767,21.202,24.277,33.447,26.077,21.329,18.027,15.873,4.124,38.917,33.305,28.926,20.351,20.125,16.227,16.936,25.0,39.314,34.963,23.668,20.692,20.295,17.205,20.337,35.218,28.614,19.77,18.211,15.873,17.219,22.562,37.783,32.313,20.394,20.578
ts11,12.727,10.02,21.556,45.72,38.776,22.548,19.218,24.376,17.871,11.409,49.036,43.155,13.237,10.771,16.61,21.542,36.026,36.791,25.609,18.438,21.939,10.587,15.774,22.605,38.69,38.294,22.562,21.953,20.862,18.863,24.334,44.204,14.357,46.046,18.367,19.232,12.217,31.207,31.562,41.624,23.965,26.842,18.013,16.482,16.922,45.111,25.779,0.0,9.51,17.772,18.126,24.972,43.254,33.829,21.032,18.948
ts12,9.028,10.105,12.656,20.281,23.951,10.771,8.262,16.086,11.678,14.215,22.208,19.529,10.459,14.923,10.941,11.735,23.172,16.567,22.619,12.231,15.051,12.415,15.377,18.041,21.599,22.123,9.651,10.643,10.317,9.58,13.506,23.724,3.175,8.362,10.629,10.629,11.366,22.789,25.482,27.579,15.434,15.32,11.961,10.062,14.569,25.779,25.071,8.177,12.018,11.565,9.481,17.46,21.216,23.498,10.275,12.543
ts13,12.684,13.407,23.03,35.275,32.993,14.994,14.569,16.468,17.744,22.321,33.291,38.62,14.527,15.944,19.388,17.517,33.702,23.484,26.488,17.531,17.092,17.574,15.434,23.058,31.037,30.045,13.308,14.739,12.302,14.725,21.514,29.96,8.773,10.941,17.007,16.369,21.074,26.035,40.434,38.081,15.731,17.29,12.968,12.089,24.235,28.685,41.652,22.222,10.488,16.738,18.622,22.662,31.278,31.434,15.717,16.794
ts14,12.854,10.714,20.167,26.899,29.422,12.968,19.161,17.772,18.537,19.303,25.581,29.337,11.409,15.916,15.59,17.248,33.107,20.989,29.365,13.095,13.96,19.855,23.895,18.254,27.466,25.624,12.075,17.361,11.536,14.101,20.295,30.329,7.497,10.558,17.588,16.412,20.791,24.872,31.42,30.329,15.916,12.939,16.596,15.774,21.372,29.393,28.047,12.954,15.944,15.179,17.092,20.04,25.992,26.601,13.988,17.645
